SAMPLE_NO,LONGITUDE,LATITUDE,Ca_ppm,Cu_ppm,K_ppm,Mn_ppm,Ti_ppm
4108274,137.8750677,-34.541221,30178,36,11061,117,2501
4107738,137.875184,-34.5445985,7389,36,13557,127,2210
4108154,137.8718256,-34.5419734,71123,36,13014,383,2180
4107985,137.8740412,-34.5430479,10486,35,17853,424,3518
4108057,137.87457,-34.5425848,65780,34,13605,236,2710
4108355,137.8671533,-34.5407311,3424,33,8905,308,4332
4108149,137.870465,-34.5420054,103026,33,12798,459,4148
4107951,137.8745932,-34.5432603,40155,33,11896,548,3469
4108509,137.8676666,-34.5398176,49524,33,12750,609,3361
4108546,137.8673868,-34.5395989,54868,33,25001,332,3226
4108358,137.8679696,-34.5407119,13509,33,17870,381,2985
4108535,137.8747414,-34.5396512,174983,33,13263,709,2946
4107978,137.8721364,-34.5430928,9161,33,15804,513,2654
4108155,137.8720977,-34.541967,117685,32,12265,353,3187
4108401,137.8693225,-34.5404548,68325,32,16265,341,2700
4107735,137.8743676,-34.5446177,21415,32,14274,204,2307
4107903,137.8718798,-34.5435495,23579,32,14373,497,2189
4108402,137.8695946,-34.5404484,55557,32,14663,267,2034
4108124,137.873466,-34.5421601,44697,32,14918,124,1487
4107535,137.8673311,-34.5459101,9779,31,9521,157,3075
4107868,137.8721597,-34.5437683,41831,31,15556,571,2905
4108025,137.875122,-34.5427972,123855,30,14154,239,5569
4108403,137.8698667,-34.540442,41686,30,14573,198,4498
4107940,137.8715999,-34.5433308,28621,30,19188,576,2223
4108110,137.8693843,-34.5422561,74537,30,18155,202,1613
4107579,137.8697725,-34.5456273,46287,30,9444,92,1368
4108257,137.8704418,-34.5413299,16205,30,11389,155,413
4107979,137.8724085,-34.5430864,36762,29,16459,561,4108
4108091,137.874018,-34.5423725,99418,29,13840,372,3374
4108362,137.8690581,-34.5406863,53135,29,10801,446,3297
4107879,137.875153,-34.5436978,19955,29,14289,446,3123
4108191,137.87209,-34.5417418,104303,29,14756,235,2737
4108162,137.8740025,-34.5419222,165060,29,10337,971,2643
4107904,137.8721519,-34.5435431,23462,29,15432,372,2464
4108023,137.8745777,-34.54281,24481,29,14557,265,2425
4108438,137.8690426,-34.540236,93920,29,17312,390,2179
4108461,137.8753011,-34.5400887,127318,29,9378,198,2118
4108109,137.8691122,-34.5422625,53697,29,17473,243,1925
4108440,137.8695868,-34.5402232,76295,29,11255,343,1599
4108470,137.8674022,-34.5400493,11078,28,22919,420,3622
4107773,137.8754483,-34.544367,29702,28,16115,200,2190
4107949,137.874049,-34.5432731,153917,28,13801,560,1769
4107464,137.8659859,-34.5463924,93545,28,14454,304,1485
4107835,137.8729838,-34.5439743,16746,28,13607,123,1308
4107394,137.8681784,-34.5467915,31320,28,7652,99,834
4107846,137.8759771,-34.5439038,112049,27,13897,189,2962
4108323,137.8687937,-34.5409179,23794,27,16890,519,2612
4107703,137.8751917,-34.5448237,5787,27,11974,124,2394
4108122,137.8729218,-34.5421729,42311,27,16796,195,2303
4107664,137.874111,-34.5450744,14579,27,16950,162,2097
4107982,137.8732249,-34.5430671,12245,27,12535,385,2020
4108158,137.8729141,-34.5419478,68064,27,13088,458,1703
4107881,137.8756972,-34.543685,68397,26,16129,395,4004
4107944,137.8726884,-34.5433052,76429,26,6316,233,3092
4108114,137.8707449,-34.5422241,157380,26,9574,185,2752
4108326,137.86961,-34.5408987,30453,26,16686,378,2265
4107739,137.8754561,-34.5445921,23477,26,15679,138,1973
4108310,137.87506,-34.5409959,90944,26,8441,162,1711
4108113,137.8702007,-34.5422369,27315,26,9463,207,1041
4108021,137.8740335,-34.5428228,117625,25,10635,427,3906
4108395,137.8676898,-34.5404932,6895,25,17634,625,2987
4108365,137.8698744,-34.5406671,73184,25,18929,250,2853
4108185,137.8704573,-34.5417802,68657,25,14522,314,2575
4107733,137.8738233,-34.5446305,19495,25,14617,195,2316
4107811,137.8762569,-34.5441226,23756,25,14559,168,2300
4108090,137.8737459,-34.5423789,100666,25,13960,890,1919
4108112,137.8699285,-34.5422433,47785,25,15915,235,1885
4108074,137.8693921,-34.5424814,66970,25,24210,464,1443
4108308,137.8745158,-34.5410087,35856,24,6918,105,2781
4108367,137.8704186,-34.5406543,20627,24,17595,481,2557
4107987,137.8745855,-34.5430351,8665,24,12010,321,1832
4108450,137.8723079,-34.5401592,22822,24,11324,171,1807
4108111,137.8696564,-34.5422497,37646,24,13259,182,1457
4107866,137.8716154,-34.5437811,42974,24,13641,249,1421
4107479,137.8700678,-34.5462964,63905,24,10631,179,817
4107976,137.8715922,-34.5431056,115668,23,12855,562,5473
4108432,137.86741,-34.5402744,9951,23,19382,596,5087
4108161,137.8737304,-34.5419286,143701,23,9674,232,3827
4108211,137.8677284,-34.5416191,188753,23,21086,1881,3042
4107905,137.872424,-34.5435367,55517,23,13314,272,3018
4108400,137.8690503,-34.5404612,64909,23,17928,389,2474
4107902,137.8716077,-34.5435559,43883,23,14230,411,2441
4108169,137.8759073,-34.5418773,9539,23,10228,91,2021
4107752,137.8691895,-34.5445143,58706,23,16296,159,1973
4107989,137.8751297,-34.5430223,12118,23,11026,233,1959
4107376,137.8739008,-34.5468823,50689,23,11677,123,1854
4108322,137.8685216,-34.5409243,29917,23,23803,502,1442
4107324,137.8703709,-34.5471907,21360,23,10654,89,365
4108192,137.8723621,-34.5417354,87332,22,18392,266,3522
4107912,137.8743289,-34.5434918,16080,22,15535,442,3240
4108360,137.8685139,-34.5406991,5656,22,16754,424,3111
4107873,137.8735202,-34.5437363,116538,22,17204,307,2655
4107655,137.8716619,-34.5451321,13781,22,16686,231,2454
4107699,137.8741032,-34.5448493,14517,22,14305,176,2445
