SAMPLE_NO,LONGITUDE,LATITUDE,Ca_ppm,Cu_ppm,K_ppm,Mn_ppm,Ti_ppm
4107060,137.8728743,-34.5487092,50876,11,12425,124,1645
4107400,137.8698111,-34.5467531,50940,11,12316,155,1622
4107289,137.8714671,-34.5473903,46529,11,13081,173,1612
4107389,137.8668177,-34.5468235,5479,11,10535,123,1612
4107503,137.8673388,-34.5461352,10563,11,12107,111,1586
4107363,137.8703631,-34.5469656,42305,11,12609,131,1574
4107589,137.8727658,-34.5455568,26494,11,11376,102,1557
4107321,137.8695545,-34.5472099,21249,11,12005,125,1459
4107116,137.8668718,-34.5483997,24581,11,12486,119,1438
4107851,137.8675336,-34.5438771,60308,11,13069,173,1349
4107117,137.8671439,-34.5483933,123818,11,16125,418,1303
4108389,137.876405,-34.5405133,67325,11,11201,131,1295
4107541,137.8689638,-34.5458717,41487,11,9858,105,1291
4107826,137.8705347,-34.544032,16509,11,5907,44,1178
4106939,137.8718089,-34.5494104,45886,11,10834,112,1165
4107651,137.8703012,-34.5451641,337530,11,9731,649,1146
4107779,137.867277,-34.544334,87252,11,12265,232,1132
4107097,137.8723222,-34.5484968,26657,11,10688,119,1130
4107180,137.8736674,-34.5480146,60327,11,9870,105,901
4107085,137.8690566,-34.5485737,7825,11,7236,55,331
4106951,137.8750746,-34.5493335,14924,11,14854,86,100
4108303,137.8731552,-34.5410407,75060,10,5745,124,3232
4108080,137.8710247,-34.5424429,59384,10,13533,407,2726
4108373,137.8720513,-34.5406159,6854,10,9508,88,2412
4107385,137.87635,-34.5468246,17227,10,14913,71,2256
4108284,137.8679851,-34.5411624,18912,10,14616,416,2219
4107706,137.8760081,-34.5448044,3662,10,10447,83,2169
4107791,137.8708145,-34.5442508,81780,10,11745,172,2077
4107690,137.8716541,-34.544907,9618,10,12531,176,2065
4107597,137.8749428,-34.5455055,55817,10,9687,384,2003
4107757,137.8710944,-34.5444695,24097,10,14561,249,1955
4107621,137.8719417,-34.5453509,38599,10,11963,138,1908
4107686,137.8702935,-34.544939,56877,10,10350,101,1897
4108446,137.8712195,-34.5401848,41066,10,12872,272,1885
4107884,137.8667095,-34.5436711,81705,10,11843,153,1758
4107063,137.8736907,-34.54869,47646,10,10983,125,1731
4107792,137.8710867,-34.5442444,48835,10,12272,304,1721
4107009,137.8696164,-34.5490112,32218,10,13716,126,1676
4106907,137.8737216,-34.5495907,64457,10,13491,127,1647
4107364,137.8706353,-34.5469592,28016,10,11882,125,1639
4108468,137.8772058,-34.5400438,73706,10,10995,72,1605
4108108,137.8688401,-34.5422689,89866,10,20297,674,1579
4107553,137.8725015,-34.5457884,35750,10,10455,101,1564
4107890,137.8683422,-34.5436327,52303,10,17299,204,1550
4107038,137.8668873,-34.5488501,66773,10,9800,121,1537
4108445,137.8709474,-34.5401912,29083,10,10784,167,1521
4107067,137.8747792,-34.5486644,48528,10,10622,123,1517
4106825,137.8726486,-34.5500666,37291,10,13370,162,1513
4107054,137.8712414,-34.5487477,33596,10,9122,81,1499
4108313,137.8758763,-34.5409766,45562,10,16373,166,1478
4107512,137.8708764,-34.546052,41887,10,9567,83,1433
4107056,137.8717857,-34.5487349,41401,10,10280,89,1425
4107301,137.8747327,-34.5473134,48921,10,10489,115,1410
4107582,137.870861,-34.5456017,42347,10,8965,89,1387
4107290,137.8717393,-34.5473839,39861,10,10204,116,1371
4107297,137.8736442,-34.547339,48456,10,11673,102,1367
4107276,137.8679294,-34.5474735,14680,10,11413,189,1276
4107066,137.8745071,-34.5486708,119325,10,14721,122,1004
4107353,137.8676418,-34.5470296,11935,10,18509,92,975
4107173,137.8717625,-34.5480594,42299,10,24819,107,780
4106966,137.8685355,-34.549262,16380,10,5657,153,533
4106992,137.8756111,-34.5490954,29870,10,10240,78,499
4106827,137.8731929,-34.5500538,24369,10,7378,117,404
4106928,137.8688154,-34.5494808,13004,10,9546,51,308
4107282,137.8695622,-34.5474351,27118,10,55045,100,171
4106949,137.8745303,-34.5493463,6993,10,6337,52,47
4108259,137.8709861,-34.5413171,126011,4.5,8679,218,5517
4108017,137.872945,-34.5428484,125592,4.5,11855,594,5390
4108473,137.8682186,-34.5400301,44071,4.5,18468,1318,5367
4108260,137.8712582,-34.5413107,123013,4.5,12155,276,5149
4108038,137.8688556,-34.5427193,169958,4.5,9512,226,5042
4108050,137.8726652,-34.5426296,75770,4.5,11980,350,4065
4107888,137.867798,-34.5436455,210718,4.5,9503,286,4023
4108053,137.8734815,-34.5426104,64140,4.5,12100,246,4022
4107937,137.8707836,-34.54335,95210,4.5,5411,142,3952
4108250,137.868537,-34.5413747,68794,4.5,17732,360,3902
4107857,137.8691663,-34.5438387,317150,4.5,8392,416,3860
4108518,137.8701156,-34.5397601,46312,4.5,15565,274,3844
4108511,137.8682108,-34.5398049,18973,4.5,22453,1527,3799
4108357,137.8676975,-34.5407183,5333,4.5,14555,401,3783
4108456,137.8739405,-34.5401207,127181,4.5,8271,117,3762
4108263,137.8720745,-34.5412915,84745,4.5,14628,223,3744
4108253,137.8693534,-34.5413555,21522,4.5,15429,478,3738
4107991,137.8756739,-34.5430094,77384,4.5,10318,151,3725
4108019,137.8734893,-34.5428356,24090,4.5,15944,433,3713
4107901,137.8713356,-34.5435623,110262,4.5,14118,382,3706
4108195,137.8731784,-34.5417162,74295,4.5,9857,168,3703
4108375,137.8725955,-34.5406031,6672,4.5,8151,74,3668
4107994,137.8764903,-34.5429902,60593,4.5,9302,156,3611
4108412,137.8723156,-34.5403844,6450,4.5,8463,95,3611
4108288,137.8690735,-34.5411368,15543,4.5,16578,530,3567
4108435,137.8682263,-34.5402552,17696,4.5,24113,961,3560
4108302,137.8728831,-34.5410471,41310,4.5,12188,158,3553
4108016,137.8726729,-34.5428548,11308,4.5,16542,546,3551
4108517,137.8698435,-34.5397665,109075,4.5,9731,177,3545
4107869,137.8724318,-34.5437619,136526,4.5,6882,291,3496
4108481,137.8703954,-34.5399789,48045,4.5,9081,179,3412
4108285,137.8682572,-34.541156,60920,4.5,12433,566,3410
4108406,137.870683,-34.5404228,76416,4.5,11713,149,3410
4108474,137.8684907,-34.5400237,46686,4.5,23838,926,3385
4108330,137.8706985,-34.5408731,120563,4.5,11236,373,3380
4108475,137.8687628,-34.5400173,78921,4.5,21298,614,3379
4107858,137.8694385,-34.5438323,106808,4.5,9525,169,3359
4108249,137.8682649,-34.5413811,42371,4.5,15844,331,3348
4107920,137.8765058,-34.5434405,88965,4.5,8597,189,3335
4108052,137.8732094,-34.5426168,30845,4.5,16578,492,3326
4108545,137.8671147,-34.5396053,36454,4.5,32006,565,3321
4108251,137.8688092,-34.5413683,7052,4.5,18794,428,3318
4108469,137.8671301,-34.5400557,14005,4.5,28941,362,3299
4107859,137.8697106,-34.5438259,110455,4.5,9648,184,3297
4108215,137.8688169,-34.5415935,38098,4.5,17228,363,3289
4107917,137.8756894,-34.5434598,96097,4.5,10004,275,3277
4108166,137.875091,-34.5418965,62689,4.5,8449,98,3260
4107755,137.8705501,-34.5444823,34151,4.5,18537,323,3256
4107831,137.8718953,-34.5439999,104137,4.5,12624,358,3246
4108224,137.8712659,-34.5415359,78176,4.5,12478,298,3221
4107894,137.8694307,-34.5436071,69194,4.5,11329,167,3196
4108076,137.8699363,-34.5424686,94205,4.5,13206,196,3193
4108218,137.8696332,-34.5415743,7282,4.5,16539,495,3190
4107900,137.8710634,-34.5435687,84157,4.5,14035,397,3189
4108335,137.872059,-34.5408411,48754,4.5,10575,119,3170
4108334,137.8717869,-34.5408475,40439,4.5,10901,146,3153
4107971,137.8702316,-34.5431376,45186,4.5,9947,185,3112
4108378,137.8734118,-34.5405839,14726,4.5,11341,86,3099
4107938,137.8710557,-34.5433436,54420,4.5,13023,254,3097
4108337,137.8726032,-34.5408283,51778,4.5,10987,132,3069
4108512,137.8684829,-34.5397985,49119,4.5,18532,930,3059
4108316,137.8766926,-34.5409574,73790,4.5,42122,105,3053
4108045,137.8713046,-34.5426617,24049,4.5,11848,395,3015
4108179,137.8688246,-34.5418186,48622,4.5,18991,357,3005
4108246,137.8674486,-34.5414003,30669,4.5,14249,477,2996
4108301,137.872611,-34.5410535,54426,4.5,10796,185,2991
4108209,137.8671842,-34.5416319,45298,4.5,15615,283,2987
4108148,137.8701929,-34.5420118,43977,4.5,16475,612,2964
4107970,137.8699595,-34.543144,62250,4.5,9471,232,2926
4107790,137.8702703,-34.5442636,86251,4.5,14987,241,2913
4108324,137.8690658,-34.5409115,54250,4.5,36717,293,2908
4108085,137.8723853,-34.5424109,21381,4.5,15456,434,2902
4107862,137.8705269,-34.5438067,79511,4.5,14587,195,2901
4107999,137.8680469,-34.5429637,36638,4.5,9515,126,2900
4108271,137.8742514,-34.5412402,31898,4.5,8783,92,2870
4108252,137.8690813,-34.5413619,8536,4.5,16985,457,2853
4108342,137.8739638,-34.5407963,42454,4.5,9752,102,2851
4108072,137.8688478,-34.5424942,36813,4.5,25928,511,2842
4108415,137.873132,-34.5403652,12464,4.5,7712,74,2823
4108477,137.869307,-34.5400045,113504,4.5,15197,344,2800
4107885,137.8669816,-34.5436647,110821,4.5,8585,142,2770
4108012,137.8715845,-34.5428805,6836,4.5,14723,507,2769
4108339,137.8731475,-34.5408155,23381,4.5,9372,143,2768
4107898,137.8705192,-34.5435815,92151,4.5,11516,204,2765
4108152,137.8712814,-34.5419862,28765,4.5,16360,344,2762
4108174,137.8674641,-34.5418506,48239,4.5,20550,382,2762
4107761,137.8721829,-34.5444439,10105,4.5,16155,180,2751
4106851,137.869103,-34.5499248,15831,4.5,13598,138,2745
4108556,137.8701078,-34.539535,17854,4.5,13328,212,2745
4108287,137.8688014,-34.5411432,5398,4.5,15540,354,2741
4108083,137.8718411,-34.5424237,30817,4.5,17597,426,2727
4108298,137.8717947,-34.5410728,22851,4.5,12975,157,2725
4108530,137.8733808,-34.5396832,92951,4.5,8597,113,2709
4108226,137.8718101,-34.5415231,69171,4.5,10869,171,2703
4108194,137.8729063,-34.5417226,37240,4.5,11482,164,2696
4108480,137.8701233,-34.5399853,42151,4.5,15770,225,2696
4107959,137.8767702,-34.543209,37261,4.5,9916,122,2692
4108377,137.8731397,-34.5405903,13782,4.5,9517,71,2690
4107662,137.8735667,-34.5450873,6760,4.5,13753,139,2686
4108261,137.8715303,-34.5413043,45037,4.5,15851,221,2685
4108015,137.8724008,-34.5428613,11374,4.5,22768,533,2683
4108277,137.875884,-34.5412017,26352,4.5,9437,64,2674
4108551,137.8687473,-34.539567,54934,4.5,12564,688,2661
4107914,137.8748731,-34.543479,19963,4.5,12841,447,2654
4108217,137.8693611,-34.5415807,21680,4.5,13742,317,2653
4108202,137.8750832,-34.5416713,30894,4.5,9785,102,2646
4108104,137.8677516,-34.5422945,61651,4.5,19132,206,2642
4108565,137.8725568,-34.5394773,101209,4.5,12786,118,2640
4108396,137.8679619,-34.5404868,4496,4.5,14700,369,2635
4108043,137.8707604,-34.5426745,50899,4.5,16681,303,2626
4107856,137.8688942,-34.5438451,68047,4.5,15476,253,2625
4108206,137.8761717,-34.5416456,25115,4.5,8386,94,2622
4108032,137.8672229,-34.5427576,37366,4.5,8080,96,2619
4108201,137.8748111,-34.5416777,22018,4.5,9366,121,2617
4108349,137.8758685,-34.5407514,17118,4.5,8957,77,2615
4107596,137.8746707,-34.5455119,5889,4.5,12491,119,2613
4108272,137.8745235,-34.5412338,24799,4.5,8206,115,2612
4107532,137.876319,-34.5459238,23804,4.5,14660,88,2589
4108267,137.8731629,-34.5412658,26341,4.5,10086,102,2569
4108295,137.8709783,-34.541092,39199,4.5,10479,183,2546
4107461,137.8757902,-34.546387,5701,4.5,12556,75,2543
4108060,137.8753863,-34.5425655,35486,4.5,13070,153,2543
4108088,137.8732017,-34.5423917,57445,4.5,15668,487,2539
4107618,137.8711253,-34.5453701,21414,4.5,14818,225,2533
4108317,137.867161,-34.5409563,13981,4.5,15356,364,2531
4107483,137.8717006,-34.546258,53564,4.5,15922,164,2528
4108173,137.8671919,-34.541857,10261,4.5,25472,382,2518
4107897,137.8702471,-34.5435879,63942,4.5,13306,179,2513
4108283,137.867713,-34.5411688,58167,4.5,16932,456,2501
4108098,137.8759228,-34.5423276,3541,4.5,10504,112,2495
4108234,137.873987,-34.5414718,9619,4.5,12442,169,2478
4107918,137.8759616,-34.5434534,16001,4.5,26714,312,2475
4108142,137.8685602,-34.5420502,35347,4.5,22672,1099,2473
4107418,137.8747095,-34.5466378,12660,4.5,13786,108,2460
4108240,137.8756197,-34.5414334,18080,4.5,11423,99,2458
4107834,137.8727116,-34.5439807,25284,4.5,14729,158,2451
4107656,137.871934,-34.5451257,15252,4.5,13098,125,2449
4108390,137.8766771,-34.5405069,10537,4.5,4932,51,2444
4108168,137.8756352,-34.5418837,92745,4.5,9722,253,2442
4107521,137.8733256,-34.5459943,14779,4.5,14029,128,2438
4108039,137.8691277,-34.5427129,104231,4.5,16667,251,2430
4108041,137.8696719,-34.5427001,84027,4.5,17253,294,2430
4108187,137.8710015,-34.5417674,38702,4.5,16935,339,2429
4108069,137.8680315,-34.5425133,13009,4.5,17280,157,2423
4108471,137.8676743,-34.5400429,19350,4.5,21485,1244,2411
4107496,137.8752382,-34.5461747,4972,4.5,11601,57,2398
4108459,137.8747569,-34.5401015,83933,4.5,11585,102,2393
4108276,137.8756119,-34.5412081,41762,4.5,8836,65,2390
4108550,137.8684752,-34.5395734,54389,4.5,18533,762,2389
4108138,137.8674718,-34.5420758,7975,4.5,18228,225,2387
4108006,137.8699518,-34.5429189,95070,4.5,13639,270,2381
4108027,137.8756662,-34.5427843,29049,4.5,14994,149,2372
4108026,137.8753941,-34.5427907,25292,4.5,14795,180,2370
4108264,137.8723466,-34.541285,23156,4.5,12743,164,2369
4108410,137.8717714,-34.5403972,22291,4.5,11965,91,2365
4107725,137.8716464,-34.5446818,5144,4.5,13867,177,2364
4108004,137.8694075,-34.5429317,73328,4.5,15625,268,2364
4107895,137.8697028,-34.5436007,43279,4.5,11156,183,2362
4107763,137.8727271,-34.5444311,8734,4.5,16336,289,2361
4108216,137.869089,-34.5415871,8805,4.5,14449,435,2360
4107463,137.8763345,-34.5463741,3665,4.5,10597,77,2359
4108309,137.8747879,-34.5410023,7280,4.5,8788,82,2357
4107688,137.8711099,-34.5449198,20978,4.5,16616,239,2355
4107956,137.8759538,-34.5432282,7216,4.5,14870,182,2355
4107824,137.8699904,-34.5440448,70756,4.5,12312,132,2352
4108044,137.8710325,-34.5426681,30408,4.5,11442,262,2346
4108513,137.868755,-34.5397921,69930,4.5,14575,498,2341
4107492,137.8741497,-34.5462003,10032,4.5,11796,89,2337
4107529,137.8755026,-34.545943,4900,4.5,12380,75,2336
4107609,137.8684041,-34.5454341,33870,4.5,15530,258,2332
4108315,137.8764205,-34.5409638,28156,4.5,10606,83,2321
4108281,137.8671688,-34.5411815,31599,4.5,13668,477,2320
4106893,137.8699117,-34.5496803,7219,4.5,13845,104,2316
4108071,137.8685757,-34.5425006,33408,4.5,21145,281,2315
4107724,137.8713743,-34.5446882,14506,4.5,13565,217,2313
4107919,137.8762337,-34.5434469,11280,4.5,13231,204,2313
4107995,137.8767624,-34.5429838,24818,4.5,11309,127,2309
4107861,137.8702548,-34.5438131,69746,4.5,16658,249,2308
4107600,137.8757592,-34.5454863,5599,4.5,11223,92,2300
4107828,137.8710789,-34.5440192,44280,4.5,14057,273,2293
4107497,137.8755103,-34.5461683,3893,4.5,11796,80,2281
4108245,137.8671765,-34.5414066,3841,4.5,14423,376,2281
4107531,137.8760468,-34.5459302,20089,4.5,12352,97,2265
4107980,137.8726807,-34.54308,11391,4.5,10195,449,2265
4108176,137.8680083,-34.5418378,18283,4.5,24545,394,2261
4108186,137.8707294,-34.5417738,68443,4.5,4341,71,2261
4108341,137.8736917,-34.5408027,21059,4.5,11229,75,2260
4107727,137.8721906,-34.544669,8408,4.5,12586,188,2259
4107382,137.8755336,-34.5468438,6923,4.5,11981,88,2255
4108318,137.8674331,-34.5409499,6264,4.5,13891,331,2250
4107565,137.875767,-34.5457115,3395,4.5,9645,64,2246
4108538,137.8755577,-34.5396319,88673,4.5,11840,135,2246
4107384,137.8760778,-34.546831,17128,4.5,13504,83,2244
4108294,137.8707062,-34.5410984,45662,4.5,9723,230,2244
4108151,137.8710093,-34.5419926,38690,4.5,12954,325,2241
4108320,137.8679774,-34.5409371,5197,4.5,13722,309,2241
4107381,137.8752615,-34.5468502,11581,4.5,13788,80,2240
4107460,137.8755181,-34.5463934,7128,4.5,12339,84,2238
4107798,137.8727194,-34.5442059,9511,4.5,13192,163,2231
4108427,137.8763973,-34.5402882,46257,4.5,8391,63,2221
4106868,137.8737294,-34.5498159,93418,4.5,12759,148,2219
4107657,137.8722061,-34.5451193,8106,4.5,14228,120,2219
4107626,137.8733023,-34.5453189,21068,4.5,15582,166,2218
4107020,137.8726099,-34.5489407,71570,4.5,14148,121,2209
4107939,137.8713278,-34.5433372,24952,4.5,14663,358,2209
4107312,137.8671053,-34.5472674,17705,4.5,13952,241,2207
4107373,137.8730844,-34.5469015,43255,4.5,11648,139,2199
4107459,137.875246,-34.5463998,11384,4.5,12079,77,2198
4107379,137.8747172,-34.546863,59278,4.5,12854,113,2197
4107588,137.8724937,-34.5455632,70104,4.5,14338,289,2196
4107921,137.8767779,-34.5434341,14577,4.5,12624,131,2196
4107619,137.8713975,-34.5453637,16304,4.5,11038,151,2186
4107760,137.8719108,-34.5444503,23977,4.5,12612,241,2183
4107933,137.8696951,-34.5433756,18524,4.5,12920,237,2183
4107494,137.874694,-34.5461875,78692,4.5,13158,94,2172
4108331,137.8709706,-34.5408667,28569,4.5,11691,191,2172
4107693,137.8724705,-34.5448878,10443,4.5,15403,142,2170
4107558,137.8738621,-34.5457564,8933,4.5,12609,114,2164
4107178,137.8731232,-34.5480274,55736,4.5,14929,124,2161
4107368,137.8717238,-34.5469335,43751,4.5,14718,179,2145
4107723,137.8711021,-34.5446946,38217,4.5,13650,252,2142
4107687,137.8708377,-34.5449262,52729,4.5,14336,163,2132
4108409,137.8714993,-34.5404036,15018,4.5,11183,74,2131
4107527,137.8749583,-34.5459559,5103,4.5,10934,89,2129
4107407,137.871716,-34.5467083,29801,4.5,15574,135,2122
4107498,137.8757825,-34.5461618,4462,4.5,11168,67,2119
4108333,137.8715148,-34.5408539,25072,4.5,12904,119,2113
4107627,137.8735745,-34.5453125,7053,4.5,11493,87,2108
4107490,137.8736054,-34.5462131,51307,4.5,14092,114,2106
4107417,137.8744373,-34.5466442,16433,4.5,14600,102,2105
4107599,137.8754871,-34.5454927,27942,4.5,11929,212,2105
4108141,137.8682881,-34.5420566,40622,4.5,23517,399,2104
4108200,137.874539,-34.5416841,25048,4.5,11725,162,2103
4107560,137.8744063,-34.5457436,6922,4.5,11163,107,2099
4107001,137.8674393,-34.5490624,17481,4.5,14204,148,2098
4107745,137.8672847,-34.5445591,87540,4.5,15862,240,2096
4108066,137.8672151,-34.5425325,11313,4.5,12298,122,2095
4107629,137.8741187,-34.5452997,9413,4.5,13477,104,2091
4107634,137.8754793,-34.5452676,13426,4.5,12309,98,2091
4107153,137.8663198,-34.5481874,8469,4.5,15554,171,2089
4108482,137.8706675,-34.5399725,58252,4.5,10379,150,2087
4108233,137.8737149,-34.5414782,6321,4.5,11837,115,2085
4108463,137.8758453,-34.5400758,83469,4.5,7101,76,2085
4107528,137.8752305,-34.5459495,7437,4.5,12402,79,2083
4108163,137.8742746,-34.5419157,30335,4.5,11939,202,2083
4108265,137.8726187,-34.5412786,20553,4.5,11649,160,2080
4107396,137.8687226,-34.5467787,14785,4.5,14215,179,2079
4108009,137.8707681,-34.5428997,51888,4.5,8908,194,2077
4107822,137.8694462,-34.5440576,77426,4.5,16204,161,2076
4107419,137.8749816,-34.5466314,7231,4.5,11978,89,2074
4107520,137.8730534,-34.5460007,22326,4.5,13552,116,2071
4108407,137.8709551,-34.5404164,26641,4.5,9124,82,2067
4106849,137.8685588,-34.5499376,10453,4.5,16703,132,2063
4108103,137.8674795,-34.5423009,23691,4.5,20852,152,2062
4107935,137.8702393,-34.5433628,32180,4.5,12460,217,2061
4107475,137.8689793,-34.546322,37332,4.5,13749,139,2058
4108304,137.8734273,-34.5410343,19999,4.5,11207,122,2053
4108067,137.8674872,-34.5425261,16502,4.5,13103,174,2050
4107718,137.8694694,-34.544733,31757,4.5,12660,161,2048
4107136,137.8723145,-34.5482717,111192,4.5,15212,276,2045
4107556,137.8733178,-34.5457692,15873,4.5,12245,103,2042
4108542,137.8766461,-34.5396063,98086,4.5,8831,67,2041
4108262,137.8718024,-34.5412979,69591,4.5,21030,291,2039
4107041,137.8677037,-34.5488309,15741,4.5,11398,178,2035
4107716,137.8689251,-34.5447458,25088,4.5,13209,244,2032
4107680,137.8686608,-34.5449774,53215,4.5,16087,196,2029
4107632,137.8749351,-34.5452804,6553,4.5,11198,132,2027
4107548,137.8711408,-34.5458205,56498,4.5,18403,214,2023
4107188,137.8758445,-34.5479633,65202,4.5,12455,144,2022
4107346,137.8763577,-34.5470497,24311,4.5,11346,70,2021
4107441,137.8703477,-34.5465151,135422,4.5,16206,133,2020
4106886,137.8680067,-34.5497251,44234,4.5,17109,229,2019
4107753,137.8694617,-34.5445079,47204,4.5,18195,192,2019
4108193,137.8726342,-34.541729,32213,4.5,14051,170,2012
4108063,137.8762027,-34.5425463,26199,4.5,11118,101,2011
4106889,137.8688232,-34.5497059,3945,4.5,13313,96,2009
4107564,137.8754948,-34.5457179,7342,4.5,10525,83,2007
4107500,137.8763267,-34.546149,8582,4.5,11892,72,2004
4108476,137.8690349,-34.5400109,83250,4.5,15748,497,2002
4107658,137.8724782,-34.5451129,16591,4.5,13640,81,2000
4108372,137.8717792,-34.5406223,14038,4.5,11093,69,1999
4108089,137.8734738,-34.5423853,48815,4.5,29004,238,1997
4107707,137.8762802,-34.544798,3602,4.5,11876,78,1994
4107182,137.8742117,-34.5480017,65823,4.5,15563,128,1993
4108244,137.8767081,-34.5414077,24120,4.5,9840,57,1993
4108210,137.8674563,-34.5416255,4391,4.5,20459,321,1991
4107871,137.872976,-34.5437491,16773,4.5,13301,195,1989
4108567,137.873101,-34.5394645,94856,4.5,10824,93,1988
4107369,137.8719959,-34.5469271,44295,4.5,15920,139,1986
4107065,137.8742349,-34.5486772,68502,4.5,12156,118,1984
4107420,137.8752537,-34.546625,7782,4.5,11846,99,1984
4107562,137.8749506,-34.5457308,42268,4.5,10024,278,1979
4108061,137.8756584,-34.5425591,14317,4.5,11530,90,1979
4108413,137.8725878,-34.540378,5501,4.5,8178,55,1977
4107601,137.8760313,-34.5454799,21230,4.5,11750,89,1976
4108242,137.8761639,-34.5414205,7655,4.5,9081,70,1974
4107037,137.8666151,-34.5488565,5274,4.5,10142,100,1971
4107035,137.8660709,-34.5488692,3730,4.5,11367,123,1970
4107602,137.8763034,-34.5454735,26182,4.5,14436,97,1969
4108198,137.8739948,-34.5416969,31615,4.5,13741,190,1967
4108139,137.8677439,-34.5420694,19822,4.5,21269,268,1966
4108557,137.8703799,-34.5395286,38000,4.5,14667,161,1964
4107756,137.8708223,-34.5444759,57768,4.5,13721,250,1962
4107892,137.8688865,-34.5436199,54898,4.5,16032,215,1960
4107661,137.8732946,-34.5450937,28310,4.5,16329,117,1958
4107507,137.8684273,-34.5461096,24230,4.5,14458,166,1953
4108087,137.8729295,-34.5423981,40027,4.5,14555,326,1953
4107559,137.8741342,-34.54575,10845,4.5,10244,147,1950
4106874,137.8753622,-34.5497774,51395,4.5,15455,133,1949
4107164,137.8693133,-34.548117,13799,4.5,14029,89,1949
4107692,137.8721984,-34.5448942,12491,4.5,18301,141,1944
4107358,137.8690025,-34.5469976,19687,4.5,13530,170,1940
4107025,137.8739705,-34.5489087,77022,4.5,16182,158,1938
4108268,137.8734351,-34.5412594,17685,4.5,11655,99,1932
4106803,137.8666615,-34.5502074,4684,4.5,12047,102,1930
4108054,137.8737536,-34.542604,15164,4.5,12394,264,1930
4107645,137.8686685,-34.5452025,19434,4.5,12489,205,1929
4107485,137.8722448,-34.5462452,54588,4.5,14264,111,1928
4108270,137.8739793,-34.5412466,12714,4.5,10230,108,1924
4107549,137.871413,-34.5458141,49950,4.5,13262,166,1921
4107715,137.868653,-34.5447522,25015,4.5,14293,215,1921
4108180,137.8690967,-34.5418122,36360,4.5,16731,414,1921
4108095,137.8751065,-34.5423468,15036,4.5,15044,133,1920
4107643,137.8681242,-34.5452153,20678,4.5,12657,199,1919
4107555,137.8730457,-34.5457756,21307,4.5,11422,127,1916
4107689,137.871382,-34.5449134,23848,4.5,16090,170,1916
4107495,137.8749661,-34.5461811,9984,4.5,12518,96,1909
4107762,137.872455,-34.5444375,5702,4.5,13196,111,1906
4107523,137.8738698,-34.5459815,9701,4.5,12198,77,1905
4107360,137.8695467,-34.5469848,31731,4.5,13381,182,1904
4108507,137.8671224,-34.5398304,25831,4.5,33160,239,1903
4107653,137.8711176,-34.5451449,15435,4.5,14788,202,1900
4108177,137.8682804,-34.5418314,78627,4.5,21381,449,1900
4107231,137.8663044,-34.547737,5771,4.5,14249,131,1899
4108258,137.8707139,-34.5413235,66278,4.5,12354,281,1897
4108196,137.8734505,-34.5417097,16665,4.5,13059,118,1895
4107462,137.8760623,-34.5463805,4238,4.5,12051,74,1892
4107954,137.8754096,-34.5432411,22393,4.5,11324,305,1889
4108531,137.873653,-34.5396768,84198,4.5,11754,142,1887
4107367,137.8714517,-34.5469399,41941,4.5,13804,189,1884
4107377,137.8741729,-34.5468759,64129,4.5,12079,57,1884
4107563,137.8752227,-34.5457243,10409,4.5,10400,94,1883
4107786,137.8691818,-34.5442892,45018,4.5,13169,165,1883
4108235,137.8742591,-34.5414654,28884,4.5,10645,276,1880
4107635,137.8757515,-34.5452612,8723,4.5,11119,100,1879
4108555,137.8698357,-34.5395414,43811,4.5,11794,196,1879
4107754,137.8697338,-34.5445015,43287,4.5,14287,223,1876
4106863,137.8723687,-34.5498479,46916,4.5,13822,171,1871
4107729,137.8727349,-34.5446562,18361,4.5,10627,111,1870
4107530,137.8757747,-34.5459366,3672,4.5,11635,63,1865
4106860,137.8715523,-34.5498671,30384,4.5,13565,109,1864
4108379,137.8736839,-34.5405775,14828,4.5,11727,72,1861
4107785,137.8689097,-34.5442956,49903,4.5,12196,193,1859
4107848,137.8667173,-34.5438963,92840,4.5,14390,151,1857
4106845,137.8674702,-34.5499631,18489,4.5,12743,134,1856
4107614,137.8697647,-34.5454022,148306,4.5,14498,201,1856
4107604,137.8670435,-34.5454661,22840,4.5,14297,222,1855
4108100,137.876467,-34.5423148,6496,4.5,12180,109,1855
4107334,137.8730922,-34.5471266,46572,4.5,11426,102,1850
4108230,137.8728986,-34.5414975,19709,4.5,13531,137,1850
4107181,137.8739396,-34.5480082,59828,4.5,14004,121,1849
4108140,137.868016,-34.542063,23948,4.5,18887,265,1849
4107624,137.8727581,-34.5453317,20659,4.5,12347,94,1844
4108466,137.8766616,-34.5400566,101860,4.5,8367,153,1844
4107187,137.8755723,-34.5479697,58563,4.5,14228,115,1843
4107408,137.8719882,-34.5467019,43691,4.5,14807,132,1842
4106909,137.8742659,-34.5495778,58916,4.5,13917,130,1840
4108171,137.8764515,-34.5418644,5555,4.5,8630,104,1840
4107610,137.8686762,-34.5454278,25777,4.5,14728,186,1838
4108297,137.8715225,-34.5410792,66228,4.5,13483,248,1835
4107620,137.8716696,-34.5453573,28485,4.5,17615,209,1833
4106912,137.8750823,-34.5495586,59431,4.5,15626,115,1829
4107248,137.8709306,-34.5476282,39076,4.5,11743,111,1827
4108564,137.8722847,-34.5394837,84044,4.5,9848,90,1827
4107049,137.8698808,-34.5487797,6747,4.5,11275,81,1825
4107183,137.8744838,-34.5479953,55843,4.5,15258,131,1824
